,epochs,training_loss,lr,rec_train_losses,pde_train_losses,ic_train_losses,bc_train_losses,weight_rec,weight_pde,weight_ic,weight_bc
0,0,0.14650104381144047,0.001,0.0,0.004227696113957791,0.386730432510376,0.048544987628702074,1.0,1.0,1.0,1.0
1,1,0.14044266240671277,0.001,0.0,0.008809696388198063,0.36517956387251616,0.04733871470671147,1.0,1.0,1.0,1.0
2,2,0.1382304709404707,0.001,0.0,0.012913165119243786,0.3563576629385352,0.04542057099752128,1.0,1.0,1.0,1.0
3,3,0.13761343294754624,0.001,0.0,0.01580259288311936,0.3528858507052064,0.0441518371226266,1.0,1.0,1.0,1.0
4,4,0.136062475387007,0.001,0.0,0.01877061981940642,0.3467078497633338,0.04270894092041999,1.0,1.0,1.0,1.0
5,5,0.13397002732381225,0.001,0.0,0.0217511547380127,0.3383439825847745,0.04181492421776056,1.0,1.0,1.0,1.0
6,6,0.12704146932810545,0.001,0.0,0.02524665667442605,0.30979991890490055,0.0460778153501451,1.0,1.0,1.0,1.0
7,7,0.09559899964369833,0.001,0.0,0.040285411407239735,0.19849831145256758,0.04801326768938452,1.0,1.0,1.0,1.0
8,8,0.07497009029611945,0.001,0.0,0.05521164776291698,0.14227570313960314,0.027422910439781845,1.0,1.0,1.0,1.0
9,9,0.0686339430976659,0.001,0.0,0.05739796592388302,0.12758455704897642,0.020919301256071776,1.0,1.0,1.0,1.0
10,10,0.06530086696147919,0.001,0.0,0.056884952005930245,0.12057035253383219,0.018447287438903004,1.0,1.0,1.0,1.0
11,11,0.06375985220074654,0.001,0.0,0.05674360564444214,0.11709586740471423,0.017440073686884716,1.0,1.0,1.0,1.0
12,12,0.06224896712228656,0.001,0.0,0.05679373722523451,0.1134645773563534,0.016488583612954244,1.0,1.0,1.0,1.0
13,13,0.06142605550121516,0.001,0.0,0.05690088262781501,0.11158665269613266,0.015790626377565786,1.0,1.0,1.0,1.0
14,14,0.060362904565408826,0.001,0.0,0.05684731504879892,0.10913005587644875,0.015111340006114915,1.0,1.0,1.0,1.0
15,15,0.06006270635407418,0.001,0.0,0.056638812413439155,0.108887113397941,0.014662191941170022,1.0,1.0,1.0,1.0
16,16,0.0593242640607059,0.001,0.0,0.05657636804971844,0.10693317488767207,0.014463245897786692,1.0,1.0,1.0,1.0
17,17,0.05868717154953629,0.001,0.0,0.056356431799940765,0.10554007906466722,0.014164999447530136,1.0,1.0,1.0,1.0
18,18,0.05802731425501406,0.001,0.0,0.056015025125816464,0.1044698660261929,0.013597049983218312,1.0,1.0,1.0,1.0
19,19,0.05729813745710999,0.001,0.0,0.05603949795477092,0.1021628666203469,0.013692044478375465,1.0,1.0,1.0,1.0
20,20,0.056544755352661014,0.001,0.0,0.055444400175474584,0.10093906754627824,0.013250793621409684,1.0,1.0,1.0,1.0
21,21,0.05596123717259616,0.001,0.0,0.054958916967734694,0.09971038298681378,0.01321440568426624,1.0,1.0,1.0,1.0
22,22,0.05508299800567329,0.001,0.0,0.054516220348887146,0.09775429242290556,0.012978477840078995,1.0,1.0,1.0,1.0
23,23,0.053908939589746296,0.001,0.0,0.053537014056928456,0.09554857201874256,0.01264122812426649,1.0,1.0,1.0,1.0
24,24,0.05305684416089207,0.001,0.0,0.053287732996977866,0.0935215235222131,0.012361271161353216,1.0,1.0,1.0,1.0
25,25,0.05249587260186672,0.001,0.0,0.05293275881558657,0.09244160749949515,0.012113246659282595,1.0,1.0,1.0,1.0
26,26,0.05164174712263048,0.001,0.0,0.052688019699417055,0.09042621520347893,0.011811002332251519,1.0,1.0,1.0,1.0
27,27,0.05093566107098013,0.001,0.0,0.051878635538741946,0.08946838602423668,0.011459958419436589,1.0,1.0,1.0,1.0
28,28,0.050310040009208024,0.001,0.0,0.051481555216014385,0.08825939428061247,0.011189167009433731,1.0,1.0,1.0,1.0
29,29,0.04976034571882337,0.001,0.0,0.05129707476589829,0.08715247362852097,0.010831483581569046,1.0,1.0,1.0,1.0
30,30,0.04930081672500819,0.001,0.0,0.05102105322293937,0.08626861916854978,0.010612776095513254,1.0,1.0,1.0,1.0
31,31,0.04881999595090747,0.001,0.0,0.05065921589266509,0.08546479791402817,0.010335970320738852,1.0,1.0,1.0,1.0
32,32,0.048344036331400275,0.001,0.0,0.05031133897136897,0.08459463343024254,0.010126128618139774,1.0,1.0,1.0,1.0
33,33,0.047754579689353704,0.001,0.0,0.04991859826259315,0.08335691690444946,0.009988221398089081,1.0,1.0,1.0,1.0
